Date,Region,Amount,Units
2025-01-01,South,5999.61,72
2025-01-02,East,11950.42,423
2025-01-03,West,14156.03,235
2025-01-04,North,11767.19,393
2025-01-05,South,11065.88,363
2025-01-06,East,18206.30,40
2025-01-07,West,9615.68,486
2025-01-08,North,10972.22,194
2025-01-09,South,10170.03,18
2025-01-10,East,10565.98,299
2025-01-11,West,14527.17,166
2025-01-12,North,10701.51,80
2025-01-13,South,11114.98,49
2025-01-14,East,9263.63,348
2025-01-15,West,14841.90,484
2025-01-16,North,12298.21,293
2025-01-17,South,9310.85,425
2025-01-18,East,11592.59,389
2025-01-19,West,12986.49,438
2025-01-20,North,12615.71,232
2025-01-21,South,9484.98,461
2025-02-22,East,9967.22,311
2025-02-23,West,7058.20,94
2025-02-24,North,13973.22,116
2025-02-25,South,12568.67,5
2025-02-26,East,11105.49,213
2025-02-27,West,9505.15,267
2025-02-28,North,7542.29,421
2025-02-01,South,11113.35,293
2025-02-02,East,11223.04,484
2025-02-03,West,14623.83,377
2025-02-04,North,9794.45,228
2025-02-05,South,13215.10,142
2025-02-06,East,8657.94,9
2025-02-07,West,10197.50,295
2025-02-08,North,6816.32,91
2025-02-09,South,13773.33,148
2025-02-10,East,10631.89,12
2025-02-11,West,14628.43,382
2025-02-12,North,11825.89,220
2025-02-13,South,15450.35,374
2025-02-14,East,14171.98,499
2025-03-15,West,9611.00,36
2025-03-16,North,13438.65,479
2025-03-17,South,16873.97,392
2025-03-18,East,13155.30,484
2025-03-19,West,11247.06,65
2025-03-20,North,16610.53,436
2025-03-21,South,11381.27,272
2025-03-22,East,10499.42,458
2025-03-23,West,12860.58,363
2025-03-24,North,14144.71,92
2025-03-25,South,12171.63,22
2025-03-26,East,15970.08,244
2025-03-27,West,9481.36,455
2025-03-28,North,10963.03,30
2025-03-01,South,11706.64,26
2025-03-02,East,9666.87,417
2025-03-03,West,12580.34,186
2025-03-04,North,15026.75,171
2025-03-05,South,7793.88,336
2025-03-06,East,14658.15,158
2025-03-07,West,18480.47,347
2025-04-08,North,11752.69,152
2025-04-09,South,12696.75,71
2025-04-10,East,16398.23,64
2025-04-11,West,7654.18,154
2025-04-12,North,7156.07,499
2025-04-13,South,8712.18,171
2025-04-14,East,8855.19,476
2025-04-15,West,15273.34,72
2025-04-16,North,11376.09,303
2025-04-17,South,14143.30,325
2025-04-18,East,8503.41,340
2025-04-19,West,15946.08,11
2025-04-20,North,9488.34,279
2025-04-21,South,14241.29,92
2025-04-22,East,10710.62,325
2025-04-23,West,7549.54,122
2025-04-24,North,9313.31,214
2025-04-25,South,11898.81,121
2025-04-26,East,16142.18,379
2025-04-27,West,17512.81,175
2025-04-28,North,13792.02,360
2025-05-01,South,10849.83,349
2025-05-02,East,11694.70,379
2025-05-03,West,13482.27,100
2025-05-04,North,8034.00,440
2025-05-05,South,14356.12,259
2025-05-06,East,12149.55,262
2025-05-07,West,10665.88,250
2025-05-08,North,8303.85,421
2025-05-09,South,10434.42,465
2025-05-10,East,14214.37,182
2025-05-11,West,13221.12,243
2025-05-12,North,9268.65,303
2025-05-13,South,13494.11,459
2025-05-14,East,10942.67,91
2025-05-15,West,6009.35,195
2025-05-16,North,9372.83,314
2025-05-17,South,12942.75,218
2025-05-18,East,10782.40,132
2025-05-19,West,12056.28,465
2025-05-20,North,14362.29,128
2025-05-21,South,14815.13,129
2025-06-22,East,10446.52,288
2025-06-23,West,12679.71,448
2025-06-24,North,11425.93,124
2025-06-25,South,14481.71,192
2025-06-26,East,11082.14,202
2025-06-27,West,13537.83,285
2025-06-28,North,17710.81,316
2025-06-01,South,9917.15,185
2025-06-02,East,12291.62,232
2025-06-03,West,16535.67,24
2025-06-04,North,7708.29,257
2025-06-05,South,11361.84,144
2025-06-06,East,19195.25,73
2025-06-07,West,10850.30,241
2025-06-08,North,11757.56,254
2025-06-09,South,10890.30,190
2025-06-10,East,17054.15,227
2025-06-11,West,9166.74,368
2025-06-12,North,14771.18,356
